"Id","Title","URL","Author","Co-Author","IsSpliced?","Plays","Splices","Released Splices","Likes","Date","Comments"
89,"Tutorial Tuesday: Neurofunk Episode 17","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-17","artfx","-","False","3,103","482","0","56","13/07/2018","0"
90,"Tutorial Tuesday: Neurofunk Episode 2","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-2","artfx","-","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-1","692","65","1","9","13/07/2018","1"
91,"Tutorial Tuesday: Neurofunk Episode 3","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-3","artfx","-","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-2","790","54","0","10","13/07/2018","2"
92,"Tutorial Tuesday: Neurofunk Episode 4","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-4","artfx","-","False","544","39","1","9","13/07/2018","1"
93,"Tutorial Tuesday: Neurofunk Episode 5","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-5","artfx","-","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-4","530","68","1","8","13/07/2018","0"
94,"Tutorial Tuesday: Neurofunk Episode 6","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-6","artfx","-","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-5","485","49","1","7","13/07/2018","0"
95,"Tutorial Tuesday: Neurofunk Episode 7","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-7","artfx","-","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-6","1,243","112","1","17","13/07/2018","1"
96,"Tutorial Tuesday: Neurofunk Episode 8","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-8","artfx","-","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-7","715","60","0","7","13/07/2018","0"
97,"Tutorial Tuesday: Neurofunk Episode 9","https://splice.com/artfx/tutorial-tuesday-neurofunk-episode-9","artfx","-","False","905","55","1","8","13/07/2018","0"
98,"Ambience Effects","https://splice.com/artofsampling/ambience-effects","artofsampling","-","False","295","0","0","2","13/07/2018","0"
99,"ArpScaleChord with Piano (Production Tool)","https://splice.com/artofsampling/arpscalechord-with-piano-production-tool","artofsampling","-","False","143","2","0","4","13/07/2018","2"
100,"bermuda","https://splice.com/artofsampling/bermuda","artofsampling","-","https://splice.com/atropos23/bermuda-","290","4","0","2","13/07/2018","1"
101,"Butterfly Catcher","https://splice.com/artofsampling/butterfly-catcher","artofsampling","-","False","311","5","0","7","13/07/2018","3"
102,"Cherubin","https://splice.com/artofsampling/cherubin","artofsampling","-","False","157","1","0","2","13/07/2018","2"
103,"Deep Experience (feat. Killa Mike)","https://splice.com/artofsampling/deep-experience-feat-killa-mike","artofsampling","-","False","3,055","97","0","9","13/07/2018","3"
104,"DeepZizi (Sleepwalk Mix)","https://splice.com/artofsampling/deepzizi-sleepwalk-mix","artofsampling","-","False","168","2","0","3","13/07/2018","0"
105,"Fiesta House Beat feat. Carla & Mikal","https://splice.com/artofsampling/fiesta-house-beat-feat-carla-mikal","artofsampling","-","False","1,182","49","0","8","13/07/2018","1"
106,"GbMt","https://splice.com/artofsampling/gbmt","artofsampling","mimart-qatester","False","632","17","0","4","13/07/2018","0"
107,"Ghould House Sampler","https://splice.com/artofsampling/ghould-house-sampler","artofsampling","-","False","396","7","0","2","13/07/2018","0"
108,"Housish2 - mixed by artofsampling","https://splice.com/artofsampling/housish2---mixed-by-artofsampling","artofsampling","-","https://splice.com/iamjasoncraig/housish2","203","3","0","3","13/07/2018","0"
109,"J74Lim6demo","https://splice.com/artofsampling/j74lim6demo","artofsampling","-","False","65","2","0","0","13/07/2018","0"
110,"MeldaDemo","https://splice.com/artofsampling/meldademo","artofsampling","-","False","170","0","0","1","13/07/2018","0"
111,"MolotDemo","https://splice.com/artofsampling/molotdemo","artofsampling","-","False","41","0","0","0","13/07/2018","0"
112,"Ozelo","https://splice.com/artofsampling/ozelo","artofsampling","-","False","321","7","0","3","13/07/2018","1"
113,"Pilgrimdemo","https://splice.com/artofsampling/pilgrimdemo","artofsampling","-","False","48","1","0","0","13/07/2018","0"
114,"Radiant Receiver","https://splice.com/artofsampling/radiant-receiver","artofsampling","-","https://splice.com/techno_maximus/0c4ff342-0cba-6580-1506-38a4a6e2e9f49801e19","225","1","0","4","13/07/2018","5"
115,"Radioactive Tunnel","https://splice.com/artofsampling/radioactive-tunnel","artofsampling","-","False","839","40","0","8","13/07/2018","3"
116,"ThrillseekerVarietyofsound (deep)","https://splice.com/artofsampling/thrillseekervarietyofsound-deep","artofsampling","-","False","209","2","0","2","13/07/2018","0"
117,"undergus_sudden","https://splice.com/artofsampling/undergus_sudden","artofsampling","_gus","https://splice.com/_gus/undergus_sudden","198","10","0","3","13/07/2018","0"
118,"Walker & Royce - Over feat. Stephen Klavier (Concrete Glass 'Bambaataa' Edit) - Artofsampling Remake","https://splice.com/artofsampling/walker--royce---over-feat-stephen-klavier-concrete-glass-bambaataa-edit---artofsampling-remake","artofsampling","-","https://splice.com/concreteglass/walker--royce---over-feat-stephen-klavier-concrete-glass-bambaataa-edit","424","5","0","2","13/07/2018","1"
119,"ZamplerClapMachine","https://splice.com/artofsampling/zamplerclapmachine","artofsampling","-","False","360","4","0","0","13/07/2018","0"
120,"ABANDONED DREAMS","https://splice.com/Asthmatik/abandoned-dreams","Asthmatik","-","False","134","3","0","0","13/07/2018","1"
121,"little pony","https://splice.com/Asthmatik/little-pony","Asthmatik","-","False","529","5","0","3","13/07/2018","0"
122,"Musikal Shares","https://splice.com/aylen/musikal-shares","aylen","brett-doodle","False","3","6","0","0","13/07/2018","0"
123,"The Cave","https://splice.com/aylen/the-cave","aylen","-","False","1,284","14","0","2","13/07/2018","6"
124,"Black Rose","https://splice.com/Azodiac/black-rose","Azodiac","-","False","3,128","168","0","59","13/07/2018","8"
125,"Frozen Spirits","https://splice.com/Azodiac/frozen-spirits-v1","Azodiac","-","False","1,769","121","1","29","13/07/2018","4"
126,"Frozen Spirits - Updated :)","https://splice.com/Azodiac/frozen-spirits-v2","Azodiac","-","https://splice.com/Azodiac/frozen-spirits-v1","4,654","251","1","76","13/07/2018","16"
127,"Frozen Spirits (Version 3.0)","https://splice.com/Azodiac/frozen-spirits-v3","Azodiac","-","https://splice.com/Azodiac/frozen-spirits-v2","2,003","132","1","45","13/07/2018","11"
128,"Frozen Spirits (Version 4.0)","https://splice.com/Azodiac/frozen-spirits-v4","Azodiac","-","https://splice.com/Azodiac/frozen-spirits-v3","317","16","0","8","13/07/2018","4"
129,"Universoul","https://splice.com/Azodiac/universoul","Azodiac","-","False","525","34","0","4","13/07/2018","0"
130,"Bae Bro","https://splice.com/bae_bro/bae-bro","bae_bro","andy-dysrupt-erinbarra","False","82","1","0","0","13/07/2018","0"
131,"Bro Safari's Work In Progress - Baewatch Entry","https://splice.com/Baewatch/bro-safaris-work-in-progress---baewatch-entry","Baewatch","-","https://splice.com/brosafari/mysteryland-contest","290","0","0","26","13/07/2018","16"
