Username;AuthorPlays;AuthorLikes;Followers;SignUp Date;Releases;HasBio
silky;1267;6;11;22/01/2015;4;True
simbalic;657;5;0;22/01/2014;4;True
simonh;115;0;1;22/01/2014;1;False
simonkempner;1267;6;0;22/01/2015;4;False
sipherdee;1112;13;0;22/01/2015;1;False
sitex;102197;949;227;22/01/2015;15;True
slc;1112;13;0;22/01/2014;1;False
slobatch;13;0;2;22/01/2015;1;False
slofslof;195;4;177;25/06/2017;3;False
Slumberjack;16885;245;87;21/01/2017;1;True
slushii;15992;506;110;22/01/2016;1;True
slynk;4149;33;36;22/01/2015;3;True
smart;2024;7;98;22/01/2013;8;True
smashigian;1650;18;0;22/01/2015;2;False
sndvljz;1112;13;0;22/01/2015;1;False
sneakychipmonk;122;3;1;21/01/2017;2;False
sneamonitakis;4506;38;54;22/01/2014;15;True
solsticeson;1112;13;0;22/01/2015;1;False
soundsdefygravity;309;0;5;22/01/2014;2;False
spacebug77;3933;38;8;22/11/2017;5;True
SpecularSound;228;2;3;22/01/2015;1;True
spencer_allen;1152;1;13;22/01/2014;12;True
splice;44419;387;218;22/01/2014;15;False
spliceade;1267;6;0;22/01/2015;4;False
splicedweeklychallenge;3473;17;71;22/01/2015;3;True
splicenyc;6;0;16;22/01/2014;2;False
splicestudios;4041;31;42;22/01/2015;8;False
splicetips;92419;352;1382;22/01/2014;15;True
splicevideo;301;1;0;22/01/2014;1;False
spunkmyerr;1112;13;0;22/01/2015;1;False
steadystate;1112;13;1;22/01/2015;1;False
stevenwarner;1121;13;1;22/01/2015;1;False
stevieb123;913;17;7;22/01/2015;2;True
stpinkie;10160;37;4;22/01/2015;4;True
suna;26885;288;110;22/01/2015;2;True
suneth;1661;19;14;22/01/2014;2;True
supertoon;18915;392;14;22/01/2015;15;True
svensation;20;4;1;22/01/2015;1;False
sydeshow;1172;7;10;22/01/2014;6;False
T3ns10n;98;29;4;22/01/2016;1;False
Tanzil;192;1;3;22/01/2016;3;False
