Title;Author;Co-Author;IsSpliced;Plays;Splices;Released Splices;Likes;Date;Comments
Matthew Parker & Swedish Revolution - Alive (Br3akPoint Remix) TEASER UNFINISHED;Br3akPoint;-;False;2794;104;0;40;27/05/2017;21
Bonnie x Clyde - In the City (Br3akPoint Remix) (Drop Only);Br3akPoint;-;False;1768;30;0;14;26/07/2017;2
Br3akPoint Butterfly Effect EP Teaser (Only 2 Songs);Br3akPoint;-;False;227;5;0;5;24/09/2017;5
Br3akPoint - ClickBait (Butterfly Effect EP);Br3akPoint;-;False;665;17;0;12;23/11/2017;5
Heart Break Dark Trap Beat (prod. Br3akPoint);Br3akPoint;-;False;234;8;0;5;23/12/2017;4
Loop1;bretsil;-;False;358;11;0;3;22/01/2017;0
Untitled Project (4);brett;-;False;179;4;0;0;23/01/2016;0
Ketchup1 (1);burtfox;phiunit;False;22;0;0;0;23/01/2015;0
making me high;cainenovak;barbershreds-nickace;False;35;4;0;0;23/01/2014;2
2pac - Fuck all Yall;cainenovak;phiunit-cousincole-ak47;False;119;2;0;0;23/01/2014;0
Vafanapoli;cainenovak;kseebaldt-jrsa-rhxt1002-yusukemori-wasp190-artia-genia-unmute;False;23;2;0;0;23/01/2014;2
making me high;cainenovak;barbershreds-nickace;False;107;7;0;0;23/01/2014;2
brand new shoes;cainenovak;brett-neil-ak47-nickace;False;161;10;0;1;23/01/2014;2
making me high;cainenovak;barbershreds-nickace;False;728;49;1;2;23/01/2014;6
Macondo;cainenovak;-;False;126;4;0;2;23/01/2015;4
Vafanapoli;cainenovak;kseebaldt-jrsa-rhxt1002-yusukemori-wasp190-artia-genia-unmute;False;164;12;2;1;23/01/2014;3
Flare (Camino ReEdit);camino;-;False;279;14;0;3;23/01/2015;1
Jambola 303 Acid;camino;-;False;332;14;0;7;23/01/2015;1
Purple Ice;camino;-;False;695;35;1;13;23/01/2015;1
WAREIKA - THE NEW BEAT GENERATION (Deconstructed);camino;-;False;183;10;0;0;23/01/2015;0
Deep House Secrets (Session 1);camino;-;False;1154;39;1;3;23/01/2015;1
Hit The System HTS Module;camino;-;False;298;5;0;3;23/01/2015;1
FOXFOX - B1RDTRVP (Camino G-Remix);camino;-;False;475;18;0;5;23/01/2015;2
Suite No.7;camino;agola;False;171;3;1;1;23/01/2015;0
karavella;camino;-;False;210;1;0;3;23/01/2015;0
HLPVT;camino;-;False;334;9;0;0;23/01/2015;1
Untitled40 - Camino Remix;camino;-;False;249;19;0;2;23/01/2016;0
20th;capcom;-;False;69;4;0;0;23/01/2014;0
En Fait c'est bien chzbrgr;capcom;-;False;103;4;0;0;23/01/2014;0
CHAE...RELEASE ME (AGNES INTERPRETATION);CHAE;-;False;27;0;0;0;27/05/2017;0
CHAE...DER REGEN NACH DIR;CHAE;-;False;41;0;0;0;27/05/2017;0
CHAE...IN DER DUNKELSTEN STUNDE;CHAE;-;False;42;0;0;0;27/05/2017;0
CHAE...SO LEICHT;CHAE;-;False;112;3;0;2;27/05/2017;1
CHAE...M.A.;CHAE;-;False;40;0;0;0;26/06/2017;0
CHAE...CHAMP;CHAE;-;False;52;1;0;1;26/07/2017;0
CHAE...CHA zu dem EEE;CHAE;-;False;54;1;0;0;25/08/2017;0
CHAE...MAN IN THE MIRROR (CHAE INTERPRETATION);CHAE;-;False;29;1;0;1;25/08/2017;0
CHAE...STRAßENDIAMANT;CHAE;-;False;32;0;0;0;24/10/2017;0
CHAE...EL PATRON;CHAE;-;False;22;0;0;0;24/10/2017;0
CHAE...BLUE SIDE;CHAE;-;False;13;0;0;0;23/11/2017;0
CHAE...REVOLUTION;CHAE;-;False;10;0;0;0;23/11/2017;0
CHAE...FAMILIE;CHAE;-;False;3;0;0;0;23/11/2017;0
CHAE...MIKEnte;CHAE;-;False;12;0;0;0;23/11/2017;0
CHAE...HOPEFULL;CHAE;-;False;11;0;0;0;23/12/2017;0
Pink lemonade;charliebruh;-;False;2348;131;0;24;27/05/2017;4
propaganda;charliebruh;-;False;3075;238;0;39;27/05/2017;3
Free (w/Bonnie x Clyde);charliebruh;-;False;2352;143;0;28;26/06/2017;0
Parametic;charliebruh;-;False;668;41;0;10;26/06/2017;0
Round trip;charliebruh;-;False;491;42;0;10;26/07/2017;0
tremelo;charliebruh;-;False;1388;74;0;24;26/07/2017;1
pluto;charliebruh;-;False;4988;379;0;84;25/08/2017;3
boondoggle;charliebruh;-;False;1080;65;0;18;24/09/2017;2
piddlydink;charliebruh;-;False;2779;164;0;35;24/09/2017;1
wavey;charliebruh;-;False;1346;80;0;25;23/11/2017;0
notorious thugs;charliebruh;-;False;1223;58;0;19;23/11/2017;1
floatin;charliebruh;-;False;720;45;0;9;23/11/2017;1
lucid;charliebruh;-;False;829;55;0;11;23/12/2017;0
